rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,borough,price_per_sqft,amenity_count,neighborhood_Battery Park City,neighborhood_Central Harlem,neighborhood_Central Park South,neighborhood_Chelsea,neighborhood_Chinatown,neighborhood_East Harlem,neighborhood_East Village,neighborhood_Financial District,neighborhood_Flatiron,neighborhood_Gramercy Park,neighborhood_Greenwich Village,neighborhood_Hamilton Heights,neighborhood_Inwood,neighborhood_Little Italy,neighborhood_Long Island City,neighborhood_Lower East Side,neighborhood_Midtown,neighborhood_Midtown East,neighborhood_Midtown South,neighborhood_Midtown West,neighborhood_Morningside Heights,neighborhood_Nolita,neighborhood_Roosevelt Island,neighborhood_Soho,neighborhood_Stuyvesant Town/PCV,neighborhood_Tribeca,neighborhood_Upper East Side,neighborhood_Upper West Side,neighborhood_Washington Heights,neighborhood_West Harlem,neighborhood_West Village,log_rent,neighborhood_avg_rent,rent_to_neighborhood_ratio,price_per_br,amenity_density_score,age_bucket_historic,age_bucket_mid,age_bucket_new,age_bucket_old,size_category_large,size_category_medium,size_category_small,size_category_tiny
1545,2550,0,1,480,9,2,17,1,1,0,0,1,1,0,1,Manhattan,5.3125,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.844240718141811,5238.390946502058,0.48679070081677767,2550.0,0.7142857142857143,False,True,False,False,False,False,True,False
2472,11500,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Manhattan,5.75,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.350189267092581,5324.830769230769,2.1596930491109867,5750.0,0.0,True,False,False,False,True,False,False,False
2919,4500,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Manhattan,4.9126637554585155,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.412054873292933,5534.151785714285,0.813132739079579,4500.0,0.42857142857142855,False,True,False,False,True,False,False,False
2790,4795,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Manhattan,4.917948717948718,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.475537516147405,5324.830769230769,0.900498101781494,4795.0,0.42857142857142855,False,False,False,True,True,False,False,False
10817,3800,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Manhattan,3.4545454545454546,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.24301946898925,3103.5454545454545,1.224406104455315,1266.6666666666667,0.0,True,False,False,False,True,False,False,False
9077,1995,0,0,600,6,1,115,0,0,0,0,0,0,0,0,Manhattan,3.325,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.59890045687141,4599.637387387387,0.4337298425894325,1995.0,0.0,True,False,False,False,False,False,True,False
5150,2995,0,1,579,6,21,33,0,0,0,0,0,0,0,0,Manhattan,5.172711571675302,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.005033344637111,5895.844660194175,0.5079848898022632,2995.0,0.0,False,False,False,True,False,False,True,False
9507,15000,2,2,1715,0,30,2,0,0,0,0,0,0,0,0,Manhattan,8.746355685131196,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.61587214452889,5812.968992248062,2.580436953990876,7500.0,0.0,False,False,True,False,True,False,False,False
1437,4650,1,1,915,5,5,106,0,0,0,0,0,0,0,0,Manhattan,5.081967213114754,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8.444837529224097,5238.390946502058,0.8876771603129475,4650.0,0.0,True,False,False,False,True,False,False,False
404,2950,1,1,550,43,17,14,1,1,0,1,1,0,0,0,Manhattan,5.363636363636363,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.989899374942939,5238.390946502058,0.5631500264350957,2950.0,0.42857142857142855,False,True,False,False,False,False,True,False
8293,6920,3,2,1439,7,9,39,1,0,0,0,0,0,0,0,Manhattan,4.808895066018068,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.842315546841863,4599.637387387387,1.5044664214129688,2306.6666666666665,0.14285714285714285,False,False,False,True,True,False,False,False
6594,4875,1,1,900,1,14,52,1,0,1,1,1,1,0,1,Manhattan,5.416666666666667,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.492080490601163,4310.788461538462,1.1308836059796306,4875.0,0.7142857142857143,False,False,False,True,False,True,False,False
2964,4850,1,1,789,2,40,11,0,0,0,0,0,0,0,0,Manhattan,6.14702154626109,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8.486940148245216,4070.4466019417478,1.1915154464098308,4850.0,0.0,False,True,False,False,False,True,False,False
5405,3700,1,1,947,5,5,85,1,0,1,0,1,0,1,0,Manhattan,3.907074973600845,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8.216358332386156,5238.390946502058,0.7063237619694421,3700.0,0.5714285714285714,True,False,False,False,True,False,False,False
5635,4200,2,1,900,4,8,111,1,0,0,0,0,0,0,0,Manhattan,4.666666666666667,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.343077871169383,5211.846702317291,0.8058563959934962,2100.0,0.14285714285714285,True,False,False,False,False,True,False,False
5832,2195,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Manhattan,4.39,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.694392802629421,4856.675,0.45195529863538325,2195.0,0.14285714285714285,True,False,False,False,False,False,True,False
7050,4200,1,1,640,3,15,52,1,0,0,0,0,0,0,0,Manhattan,6.5625,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,8.343077871169383,7302.756756756757,0.5751252766448806,4200.0,0.14285714285714285,False,False,False,True,False,False,True,False
476,9000,2,2,1749,4,15,10,0,0,0,1,0,0,0,0,Manhattan,5.145797598627787,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9.105090961257085,4599.637387387387,1.9566759816064625,4500.0,0.0,False,False,True,False,True,False,False,False
3491,4950,1,1,870,2,9,11,0,1,1,0,0,1,0,0,Manhattan,5.689655172413793,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.507344855361422,5534.151785714285,0.8944460129875369,4950.0,0.42857142857142855,False,True,False,False,False,True,False,False
2172,3000,0,1,573,11,8,31,0,0,0,0,1,0,0,0,Manhattan,5.2356020942408374,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8.006700845440367,5238.390946502058,0.5726949421373855,3000.0,0.14285714285714285,False,False,False,True,False,False,True,False
2443,2450,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Manhattan,3.5,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.804251383528112,3103.5454545454545,0.7894197252409269,2450.0,0.0,True,False,False,False,False,True,False,False
11328,1950,0,1,400,6,3,56,0,1,1,0,0,1,0,0,Manhattan,4.875,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.576097340623111,4735.339285714285,0.41179731426696686,1950.0,0.42857142857142855,False,False,False,True,False,False,False,True
6142,3375,1,1,652,3,12,15,1,0,0,0,0,0,0,0,Manhattan,5.17638036809816,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.124446855715847,5211.846702317291,0.6475631753519167,3375.0,0.14285714285714285,False,True,False,False,False,True,False,False
6216,2395,2,1,1000,3,1,106,0,0,0,0,0,0,0,0,Manhattan,2.395,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.78155595923534,2527.05,0.9477453948279614,1197.5,0.0,True,False,False,False,True,False,False,False
9535,4990,1,1,823,5,22,44,1,0,0,0,0,0,0,0,Manhattan,6.06318347509113,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.515391569469609,4599.637387387387,1.084868127579583,4990.0,0.14285714285714285,False,False,False,True,False,True,False,False
4678,7495,2,2,1431,3,4,10,0,1,1,1,1,1,0,1,Manhattan,5.23759608665269,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.922124823918258,5211.846702317291,1.4380699257074414,3747.5,0.7142857142857143,False,False,True,False,True,False,False,False
5169,10000,1,2,1600,2,3,5,1,0,0,0,1,0,0,0,Manhattan,6.25,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,9.210440366976517,7302.756756756757,1.369345896773525,10000.0,0.2857142857142857,False,False,True,False,True,False,False,False
5230,3090,2,1,800,10,3,106,0,0,0,0,0,0,0,0,Manhattan,3.8625,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.036249942132116,4310.788461538462,0.7168062240978582,1545.0,0.0,True,False,False,False,False,True,False,False
1710,10904,3,3,1307,6,26,6,1,0,0,0,0,0,0,0,Manhattan,8.342769701606732,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9.29697667863573,5211.846702317291,2.092156700455496,3634.6666666666665,0.14285714285714285,False,False,True,False,True,False,False,False
11111,2100,0,1,410,8,3,106,0,0,0,0,0,0,0,0,Manhattan,5.121951219512195,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.650168700845001,4070.4466019417478,0.5159139046310607,2100.0,0.0,True,False,False,False,False,False,True,False
10393,2499,0,1,400,2,3,116,1,1,1,1,1,0,0,1,Manhattan,6.2475,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.824046010856292,5211.846702317291,0.47948455561613024,2499.0,0.7142857142857143,True,False,False,False,False,False,False,True
9177,3650,2,1,763,10,30,27,0,0,0,1,1,0,0,1,Manhattan,4.783748361730013,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.202756381655638,4599.637387387387,0.7935408147626208,1825.0,0.2857142857142857,False,True,False,False,False,True,False,False
9536,3800,2,1,900,4,6,116,0,0,0,0,0,0,0,0,Manhattan,4.222222222222222,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.24301946898925,4856.675,0.7824283074325541,1900.0,0.0,True,False,False,False,False,True,False,False
133,9800,2,2,1270,7,7,6,0,1,1,1,1,0,0,0,Manhattan,7.716535433070866,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.19023970026918,4735.339285714285,2.0695454768288593,4900.0,0.42857142857142855,False,False,True,False,True,False,False,False
4687,4350,1,1,783,2,6,29,0,1,0,1,1,0,0,0,Manhattan,5.555555555555555,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8.37816098272068,5636.746031746032,0.7717218365881475,4350.0,0.2857142857142857,False,True,False,False,False,True,False,False
4557,2495,2,1,800,4,4,96,0,0,0,0,0,0,0,0,Manhattan,3.11875,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.822444729489319,5238.390946502058,0.4762912935442589,1247.5,0.0,True,False,False,False,False,True,False,False
403,3625,1,1,650,43,19,14,1,0,0,0,0,0,0,0,Manhattan,5.576923076923077,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8.195885391314796,5238.390946502058,0.6920063884160075,3625.0,0.14285714285714285,False,True,False,False,False,False,True,False
899,9000,2,2,1250,13,46,9,1,0,0,0,0,0,0,0,Manhattan,7.2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.105090961257085,4070.4466019417478,2.2110595912759745,4500.0,0.14285714285714285,False,False,True,False,True,False,False,False
4733,5800,2,2,1200,2,6,75,0,0,0,0,1,1,0,0,Manhattan,4.833333333333333,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.665785595466064,7506.95652173913,0.7726167033476197,2900.0,0.2857142857142857,True,False,False,False,True,False,False,False
2154,3295,1,1,465,5,2,29,0,1,0,1,1,0,0,0,Manhattan,7.086021505376344,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8.100464891029363,5636.746031746032,0.5845571153006772,3295.0,0.2857142857142857,False,True,False,False,False,False,True,False
10158,5485,2,1,1028,7,24,39,1,0,1,0,0,1,0,0,Manhattan,5.335603112840467,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.60995467149755,4599.637387387387,1.1924853065679384,2742.5,0.42857142857142855,False,False,False,True,True,False,False,False
668,2950,0,1,765,2,4,29,0,1,0,1,1,0,0,1,Manhattan,3.8562091503267975,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.989899374942939,5211.846702317291,0.5660181829001938,2950.0,0.42857142857142855,False,True,False,False,False,True,False,False
4268,2750,1,1,600,9,12,57,0,0,0,0,0,0,0,0,Manhattan,4.583333333333333,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.919719760924575,4599.637387387387,0.5978732166019746,2750.0,0.0,False,False,False,True,False,False,True,False
10716,8200,2,2,1431,9,8,7,0,0,0,0,0,0,1,0,Manhattan,5.73025856044724,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.012011377036412,6172.453038674033,1.3284831733222104,4100.0,0.14285714285714285,False,False,True,False,True,False,False,False
6366,2000,2,1,750,3,1,106,0,0,0,1,0,0,1,0,Manhattan,2.6666666666666665,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.601402334583733,3103.5454545454545,0.6444242655027974,1000.0,0.14285714285714285,True,False,False,False,False,True,False,False
9899,4995,3,1,1100,2,2,13,0,0,0,1,1,0,0,1,Manhattan,4.540909090909091,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.516392871245468,4197.8566037735845,1.1898929552547932,1665.0,0.2857142857142857,False,True,False,False,True,False,False,False
8005,1875,2,1,900,3,4,91,0,0,0,0,0,0,0,0,Manhattan,2.0833333333333335,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.53689712956617,2281.3636363636365,0.8218768679019725,937.5,0.0,True,False,False,False,False,True,False,False
8976,3900,1,1,750,6,6,106,1,0,0,0,0,0,0,0,Manhattan,5.2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.268988209506656,4735.339285714285,0.8235946285339337,3900.0,0.14285714285714285,True,False,False,False,False,True,False,False
3637,2400,0,1,500,9,1,106,1,0,0,0,0,0,0,0,Manhattan,4.8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.783640596221253,5238.390946502058,0.45815595370990836,2400.0,0.14285714285714285,True,False,False,False,False,False,True,False
